ADDR_51	SUITE A 6 HONDURAS STREET|SUITE A 6 HONDURAS ST|SUITE A 6 HONDURAS STREETREET
ADDR_52	KEMP HOUSE 152 CITY ROAD|KEMP HOUSE 152 CITY RD
ADDR_53	GROUND FLOOR 1 BAKER'S ROW
ADDR_54	24 HOLBORN VIADUCT
ADDR_55	152 KEMP HOUSE CITY ROAD|152 KEMP HOUSE CITY RD
ADDR_56	24 INTERNATIONAL HOUSE HOLBORN VIADUCT|24 INTL HOUSE HOLBORN VIADUCT
ADDR_57	KEMP HOUSE 160 CITY RD|KEMP HOUSE 160 CITY ROAD
ADDR_58	ARTANEON LTD UNIT 36 88-90 HATTON GARDEN|ARTANEON LTD UNIT 36 88-90 HATTON GAROADEN|ARTANEON LIMITED UNIT 36 88-90 HATTON GARDEN
ADDR_59	THE DRILL HALL 57A FARRINGDON RD|THE DRILL HALL 57A FARRINGDON ROAD
ADDR_60	DEVONSHIRE HOUSE 60 GOSWELL ROAD|DEVONSHIRE HOUSE 60 GOSWELL RD
ADDR_61	17-18 AYLESBURY ST|17-18 AYLESBURY STREETREET|17-18 AYLESBURY STREET
ADDR_62	INTL HOUSE HOLBORN VIADUCT|INTERNATIONAL HOUSE HOLBORN VIADUCT
ADDR_63	INTL HOUSE HOLBORN VIADUCT|INTERNATIONAL HOUSE HOLBORN VIADUCT
ADDR_64	OFFICE 36 88-90 HATTON GAROADEN|OFFICE 36 88-90 HATTON GARDEN
ADDR_65	KEMP HOUSE 152-160 CITY RD|KEMP HOUSE 152-160 CITY ROAD
ADDR_66	WESTBURY 2ND FLOOR 145-157 ST JOHN ST|WESTBURY 2ND FLOOR 145-157 ST JOHN STREET|WESTREETBURY 2ND FLOOR 145-157 STREET JOHN STREETREET
ADDR_67	KEMP HOUSE 152 CITY ROAD|KEMP HOUSE 152 CITY RD
ADDR_68	SUITE A 6 HONDURAS STREET|SUITE A 6 HONDURAS ST|SUITE A 6 HONDURAS STREETREET
ADDR_69	SUITE 1A 1 LINDSEY ST|SUITE 1A 1 LINDSEY STREETREET|SUITE 1A 1 LINDSEY STREET
ADDR_70	145-157 STREET JOHN STREETREET|145-157 ST JOHN STREET|145-157 ST JOHN ST
ADDR_71	KEMP HOUSE 152-160 CITY RD|KEMP HOUSE 152-160 CITY ROAD
ADDR_72	KEMP HOUSE 160 CITY RD|KEMP HOUSE 160 CITY ROAD
ADDR_73	LONGBOW HOUSE CHISWELL ST|LONGBOW HOUSE CHISWELL STREET|LONGBOW HOUSE CHISWELL STREETREET
ADDR_74	130 OLD STREETREET|130 OLD STREET|130 OLD ST
ADDR_75	1 CHARTERHOUSE MEWS
ADDR_76	15 BOWLING GREEN LN|15 BOWLING GREEN LANE
ADDR_77	KEMP HOUSE 152 CITY ROAD|KEMP HOUSE 152 CITY RD
ADDR_78	SUITE 34 67-68 HATTON GARDEN|SUITE 34 67-68 HATTON GAROADEN
ADDR_79	URBAN INNOVATION CENTRE 1 SEKFORDE STREET|URBAN INNOVATION CENTRE 1 SEKFOROADE STREET|URBAN INNOVATION CENTRE 1 SEKFORDE ST|URBAN INNOVATION CENTRE 1 SEKFORDE STREETREET
ADDR_80	KEMP HOUSE 160 CITY RD|KEMP HOUSE 160 CITY ROAD
ADDR_81	24 GREVILLE ST|24 GREVILLE STREETREET|24 GREVILLE STREET
ADDR_82	152 CITY ROAD|152 CITY RD
ADDR_83	KEMP HOUSE 160 CITY RD|KEMP HOUSE 160 CITY ROAD
ADDR_84	108 WORCESTER POINT CENTRAL STREET|108 WORCESTREETER POINT CENTRAL STREETREET|108 WORCESTER POINT CENTRAL ST
ADDR_85	15 BOWLING GREEN LN|15 BOWLING GREEN LANE
